1,76
2,73
3,70
4,72
5,53
6,66
7,55
8,64
9,73
10,83
11,76
12,58
13,76
14,77
15,60
16,85
17,53
18,66
19,62
20,73
21,86
22,78
23,58
24,81
25,74
26,54
27,56
28,60
29,59
30,73
31,84
32,81
33,73
34,53
35,59
36,71
37,73
38,67
39,59
40,76
41,76
42,76
43,66
44,63
45,59
46,61
47,85
48,76
49,84
50,58
51,85
52,56
53,65
54,74
55,63
56,79
57,56
58,77
59,55
60,67
61,68
62,68
63,74
64,55
65,68
66,52
67,76
68,82
69,63
70,75
71,68
72,61
73,83
74,79
75,52
76,57
77,73
78,87
79,86
80,84
81,80
82,56
83,81
84,59
85,79
86,61
87,87
88,53
89,76
90,72
91,54
92,54
93,69
94,77
95,64
96,76
97,62
98,87
99,84
100,78
101,76
102,78
103,82
104,81
105,52
106,67
107,52
108,54
109,70
110,84
111,75
112,76
113,58
114,77
115,58
116,54
117,75
118,84
119,59
120,53
121,70
122,72
123,52
124,80
125,62
126,62
127,81
128,60
129,69
130,73
131,69
132,67
133,82
134,59
135,71
136,61
137,59
138,68
139,73
140,60
141,62
142,73
143,60
144,56
145,61
146,62
147,54
148,65
149,71
150,66
151,68
152,85
153,64
154,63
155,78
156,69
157,60
158,76
159,59
160,58
161,54
162,74
163,52
164,77
165,56
166,73
167,66
168,73
169,81
170,62
171,85
172,68
173,76
174,53
175,69
176,74
177,68
178,70
179,67
180,59
181,80
182,80
183,54
184,84
185,69
186,54
187,59
188,79
189,65
190,83
191,67
192,62
193,60
194,80
195,57
196,53
197,66
198,83
199,72
200,63
201,52
202,52
203,70
204,54
205,54
206,73
207,52
208,69
209,83
210,58
211,54
212,64
213,86
214,86
215,69
216,53
217,62
218,57
219,58
220,63
221,77
222,65
223,69
224,78
225,80
226,84
227,72
228,60
229,70
230,67
231,60
232,64
233,75
234,60
235,61
236,86
237,68
238,63
239,55
240,64
241,76
242,82
243,64
244,74
245,81
246,69
247,86
248,62
249,80
250,85
251,62
252,68
253,86
254,82
255,58
256,79
257,76
258,80
259,82
260,58
261,64
262,84
263,73
264,84
265,81
266,87
267,73
268,60
